Reaction_class	KO
RC00014	K10782
RC00014	K10804
RC00014	K10805
RC00014	K10806
RC00014	K11992
RC00014	K13559
RC00014	K13776
RC00014	K13929
RC00014	K14067
RC00014	K14451
RC00014	K14466
RC00014	K14467
RC00014	K14469
RC00014	K14471
RC00014	K14472
RC00014	K14747
RC00014	K14760
RC00014	K15013
RC00014	K15018
RC00014	K15232
RC00014	K15233
RC00014	K15569
RC00014	K15570
RC00014	K15871
RC00014	K17360
RC00014	K18118
RC00014	K18122
RC00014	K18288
RC00014	K18289
RC00014	K18313
RC00014	K18593
RC00014	K18594
RC00014	K18687
RC00014	K18861
RC00014	K19280
RC00014	K19282
RC00014	K19709
RC00014	K20034
RC00014	K20257
RC00014	K20882
RC00014	K20985
RC00014	K21059
RC00014	K21107
RC00014	K21182
RC00014	K21228
RC00014	K21791
RC00014	K22224
RC00015	K00873
RC00015	K01006
RC00015	K01007
RC00015	K05878
RC00015	K05879
RC00015	K05881
RC00015	K12406
RC00016	K02274
RC00016	K02275
RC00016	K02276
RC00017	K00844
RC00017	K00845
RC00017	K00846
RC00017	K00847
RC00017	K00848
RC00017	K00850
RC00017	K00851
RC00017	K00852
RC00017	K00855
RC00017	K00856
RC00017	K00857
RC00017	K00861
RC00017	K00862
RC00017	K00863
RC00017	K00864
RC00017	K00866
RC00017	K00867
RC00017	K00868
RC00017	K00869
RC00017	K00872
RC00017	K00874
RC00017	K00876
RC00017	K00877
RC00017	K00878
RC00017	K00879
RC00017	K00880
RC00017	K00881
RC00017	K00882
RC00017	K00883
RC00017	K00884
RC00017	K00885
RC00017	K00886
RC00017	K00887
RC00017	K00892
RC00017	K00893
RC00017	K00894
RC00017	K00895
RC00017	K00901
RC00017	K00902
RC00017	K00904
RC00017	K00917
RC00017	K00918
RC00017	K00941
RC00017	K00949
RC00017	K00950
RC00017	K00993
RC00017	K00994
RC00017	K00995
RC00017	K00998
RC00017	K01004
RC00017	K01077
RC00017	K01078
RC00017	K01079
RC00017	K01080
RC00017	K01081
RC00017	K01084
RC00017	K01086
RC00017	K01087
RC00017	K01089
RC00017	K01091
RC00017	K01093
RC00017	K01094
RC00017	K01095
RC00017	K01096
RC00017	K01097
RC00017	K01100
RC00017	K01113
RC00017	K01114
RC00017	K01115
RC00017	K01116
RC00017	K01117
RC00017	K01122
RC00017	K01123
RC00017	K01126
RC00017	K01129
RC00017	K01622
RC00017	K01733
RC00017	K01771
RC00017	K01947
RC00017	K02203
RC00017	K02204
RC00017	K02226
RC00017	K02446
RC00017	K02744
RC00017	K02745
RC00017	K02746
RC00017	K02747
RC00017	K02749
RC00017	K02750
RC00017	K02752
RC00017	K02753
RC00017	K02759
RC00017	K02760
RC00017	K02761
RC00017	K02763
RC00017	K02764
RC00017	K02765
RC00017	K02768
RC00017	K02769
RC00017	K02770
RC00017	K02771
RC00017	K02773
RC00017	K02774
RC00017	K02775
RC00017	K02777
